# BEAST v1.10.5 Prerelease #a6fb
# Generated Tue Jun 21 20:48:12 BST 2022 [seed=1655840869121]
state	rate.1	rate.2	iouLikelihood	prec.col11	prec.col12	prec.col21	prec.col22	meanRoot1	meanRoot2	meanRoot3	meanRoot4	sampleSizeRoot	alpha.col11	alpha.col12	alpha.col21	alpha.col22
0	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
1	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
2	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
3	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
4	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
5	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
6	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
7	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
8	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
9	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
10	-1.4	1.0	-64.61271577854897	1.0	0.1	0.1	2.0	-0.5	1.0	1.0	-2.0	10.0	1.0	0.1	0.5	2.0
