expected,answer
-39.2238456264469,-39.2238456264469
-38.7003889241159,-38.7003889241159
-40.5001552740304,-40.5001552740304
-39.3878528949392,-39.3878528949392
-39.8571276678313,-39.8571276678313
-40.5001552740304,-40.5001552740304
-40.7964254453315,-40.7964254453315
-39.8571276678313,-39.8571276678313
-39.0143639633781,-39.0143639633781
-40.0719957298365,-40.0719957298365
-41.6610658187848,-41.6610658187848
-40.9085502149032,-40.9085502149032
-41.343767525868,-41.343767525868
-41.6610658187848,-41.6610658187848
-41.8671020356254,-41.8671020356254
-41.343767525868,-41.343767525868
-40.4898903120777,-40.4898903120777
-40.0719957298365,-40.0719957298365
-41.6610658187848,-41.6610658187848
-40.9085502149032,-40.9085502149032
-41.343767525868,-41.343767525868
-41.6610658187848,-41.6610658187848
-41.8671020356254,-41.8671020356254
-41.343767525868,-41.343767525868
-40.4898903120777,-40.4898903120777
-40.3664080860682,-40.3664080860682
-41.8493552240859,-41.8493552240859
-41.4959035944456,-41.4959035944456
-41.9155929675152,-41.9155929675152
-41.8493552240859,-41.8493552240859
-41.9986789728098,-41.9986789728098
-41.9155929675152,-41.9155929675152
-41.0460432777025,-41.0460432777025
-40.0719957298365,-40.0719957298365
-41.6610658187848,-41.6610658187848
-40.9085502149032,-40.9085502149032
-41.343767525868,-41.343767525868
-41.6610658187848,-41.6610658187848
-41.8671020356254,-41.8671020356254
-41.343767525868,-41.343767525868
-40.4898903120777,-40.4898903120777
-40.3664080860682,-40.3664080860682
-41.8493552240859,-41.8493552240859
-41.4959035944456,-41.4959035944456
-41.9155929675152,-41.9155929675152
-41.8493552240859,-41.8493552240859
-41.9986789728098,-41.9986789728098
-41.9155929675152,-41.9155929675152
-41.0460432777025,-41.0460432777025
-40.3664080860682,-40.3664080860682
-41.8493552240859,-41.8493552240859
-41.4959035944456,-41.4959035944456
-41.9155929675152,-41.9155929675152
-41.8493552240859,-41.8493552240859
-41.9986789728098,-41.9986789728098
-41.9155929675152,-41.9155929675152
-41.0460432777025,-41.0460432777025
-39.618671266758,-39.618671266758
-41.0589088596855,-41.0589088596855
-41.14199486498,-41.14199486498
-41.5375636464086,-41.5375636464086
-41.0589088596855,-41.0589088596855
-41.1841120167683,-41.1841120167683
-41.5375636464086,-41.5375636464086
-40.6286300633446,-40.6286300633446
-40.5333173618639,-40.5333173618639
-41.6048950359615,-41.6048950359615
-40.8523794320799,-40.8523794320799
-40.8294722743064,-40.8294722743064
-41.6048950359615,-41.6048950359615
-41.3528067840638,-41.3528067840638
-40.8294722743064,-40.8294722743064
-39.5282959047726,-39.5282959047726
-41.2484375610937,-41.2484375610937
-42.2496411543071,-42.2496411543071
-41.8961895246668,-41.8961895246668
-41.8712893650776,-41.8712893650776
-42.2496411543071,-42.2496411543071
-41.9543753703721,-41.9543753703721
-41.8712893650776,-41.8712893650776
-40.5552478079607,-40.5552478079607
-41.2484375610937,-41.2484375610937
-42.2496411543071,-42.2496411543071
-41.8961895246668,-41.8961895246668
-41.8712893650776,-41.8712893650776
-42.2496411543071,-42.2496411543071
-41.9543753703721,-41.9543753703721
-41.8712893650776,-41.8712893650776
-40.5552478079607,-40.5552478079607
-40.9484298157424,-40.9484298157424
-41.9155929675152,-41.9155929675152
-41.9986789728098,-41.9986789728098
-41.946968686046,-41.946968686046
-41.9155929675152,-41.9155929675152
-41.5935170564057,-41.5935170564057
-41.946968686046,-41.946968686046
-40.5753757155716,-40.5753757155716
-41.2484375610937,-41.2484375610937
-42.2496411543071,-42.2496411543071
-41.8961895246668,-41.8961895246668
-41.8712893650776,-41.8712893650776
-42.2496411543071,-42.2496411543071
-41.9543753703721,-41.9543753703721
-41.8712893650776,-41.8712893650776
-40.5552478079607,-40.5552478079607
-40.9484298157424,-40.9484298157424
-41.9155929675152,-41.9155929675152
-41.9986789728098,-41.9986789728098
-41.946968686046,-41.946968686046
-41.9155929675152,-41.9155929675152
-41.5935170564057,-41.5935170564057
-41.946968686046,-41.946968686046
-40.5753757155716,-40.5753757155716
-40.9484298157424,-40.9484298157424
-41.9155929675152,-41.9155929675152
-41.9986789728098,-41.9986789728098
-41.946968686046,-41.946968686046
-41.9155929675152,-41.9155929675152
-41.5935170564057,-41.5935170564057
-41.946968686046,-41.946968686046
-40.5753757155716,-40.5753757155716
-39.6775098066855,-39.6775098066855
-40.6316900179694,-40.6316900179694
-41.1550245277269,-41.1550245277269
-41.0412583210358,-41.0412583210358
-40.6316900179694,-40.6316900179694
-40.2887427171541,-40.2887427171541
-41.0412583210358,-41.0412583210358
-39.5515833821259,-39.5515833821259
-39.5515833821259,-39.5515833821259
-41.0412583210358,-41.0412583210358
-40.2887427171541,-40.2887427171541
-40.6316900179694,-40.6316900179694
-41.0412583210358,-41.0412583210358
